File Title: ,C:\Users\slank\Desktop\SPS36.LOG
File Name: ,C:\Users\slank\Desktop\SPS36.LOG
Start Time:,8/10/2017 9:07:16 AM
End Time:,8/10/2017 1:30:00 PM
Interval:,1
Records:,1331
Cyclic Flags:,2
Error Flags:,8208

Date/Time,Velocity (ft/s),Volume (gal/m),Error #
8/10/2017 9:10:09 AM,-8.74088512912484E-03,-0.327129237585153,0
8/10/2017 9:10:10 AM,-8.74088512912484E-03,-0.327129237585153,0
8/10/2017 9:10:11 AM,-9.46880733657872E-03,-0.354371860412016,0
8/10/2017 9:10:13 AM,-9.46880733657872E-03,-0.354371860412016,0
8/10/2017 9:10:15 AM,-9.87698265355322E-03,-0.36964789690837,0
8/10/2017 9:10:16 AM,-9.87698265355322E-03,-0.36964789690837,0
8/10/2017 9:10:18 AM,-1.04306652003935E-02,-0.390369568310794,0
8/10/2017 9:10:19 AM,-1.04306652003935E-02,-0.390369568310794,0
8/10/2017 9:10:21 AM,-1.08128167200705E-02,-0.404671659395073,0
8/10/2017 9:10:22 AM,-1.08128167200705E-02,-0.404671659395073,0
8/10/2017 9:10:23 AM,-1.08128167200705E-02,-0.404671659395073,0
8/10/2017 9:10:24 AM,-1.11029507431526E-02,-0.415529978703273,0
8/10/2017 9:10:25 AM,-1.11029507431526E-02,-0.415529978703273,0
8/10/2017 9:10:26 AM,-1.11029507431526E-02,-0.415529978703273,0
8/10/2017 9:10:27 AM,-1.12057173486628E-02,-0.419376037862403,0
8/10/2017 9:10:29 AM,-1.12057173486628E-02,-0.419376037862403,0
8/10/2017 9:10:30 AM,-1.12057173486628E-02,-0.419376037862403,0
8/10/2017 9:10:32 AM,-1.13020623606922E-02,-0.422981767701513,0
8/10/2017 9:10:33 AM,-1.13587446816599E-02,-0.425103114014706,0
8/10/2017 9:10:34 AM,-1.13587446816599E-02,-0.425103114014706,0
8/10/2017 9:10:35 AM,-1.13587446816599E-02,-0.425103114014706,0
8/10/2017 9:10:37 AM,-1.15130196615851E-02,-0.430876883583332,0
8/10/2017 9:10:38 AM,-1.15130196615851E-02,-0.430876883583332,0
8/10/2017 9:10:40 AM,-1.14585629718035E-02,-0.428838831927636,0
8/10/2017 9:10:41 AM,-1.14585629718035E-02,-0.428838831927636,0
8/10/2017 9:10:42 AM,-1.14585629718035E-02,-0.428838831927636,0
8/10/2017 9:10:43 AM,-1.14585629718035E-02,-0.428838831927636,0
8/10/2017 9:10:44 AM,-1.14391817150657E-02,-0.428113484820743,0
8/10/2017 9:10:45 AM,-1.14391817150657E-02,-0.428113484820743,0
8/10/2017 9:10:47 AM,-1.16901658265985E-02,-0.43750661147083,0
8/10/2017 9:10:48 AM,-1.16901658265985E-02,-0.43750661147083,0
8/10/2017 9:10:49 AM,-1.17225908895941E-02,-0.43872012543191,0
8/10/2017 9:10:50 AM,-1.17225908895941E-02,-0.43872012543191,0
8/10/2017 9:10:51 AM,-1.17225908895941E-02,-0.43872012543191,0
8/10/2017 9:10:52 AM,-1.17225908895941E-02,-0.43872012543191,0
8/10/2017 9:10:53 AM,-1.20239944481292E-02,-0.450000209182296,0
8/10/2017 9:10:54 AM,-1.20239944481292E-02,-0.450000209182296,0
8/10/2017 9:10:56 AM,-1.22384286964159E-02,-0.458025450461404,0
8/10/2017 9:10:57 AM,-1.22384286964159E-02,-0.458025450461404,0
8/10/2017 9:10:59 AM,-1.24054867128097E-02,-0.464277627526778,0
8/10/2017 9:11:00 AM,-1.24054867128097E-02,-0.464277627526778,0
8/10/2017 9:11:01 AM,-1.24054867128097E-02,-0.464277627526778,0
8/10/2017 9:11:03 AM,-1.26301146584462E-02,-0.472684369808694,0
8/10/2017 9:11:04 AM,-1.26301146584462E-02,-0.472684369808694,0
8/10/2017 9:11:06 AM,-1.27387777511102E-02,-0.476751106086736,0
8/10/2017 9:11:07 AM,-1.27387777511102E-02,-0.476751106086736,0
8/10/2017 9:11:08 AM,-1.28745611383834E-02,-0.48183282439092,0
8/10/2017 9:11:10 AM,-1.28745611383834E-02,-0.48183282439092,0
8/10/2017 9:11:12 AM,-1.29679455533222E-02,-0.485327753338042,0
8/10/2017 9:11:14 AM,-1.29679455533222E-02,-0.485327753338042,0
8/10/2017 9:11:15 AM,-1.30554945261391E-02,-0.488604289787828,0
8/10/2017 9:11:16 AM,-1.30554945261391E-02,-0.488604289787828,0
8/10/2017 9:11:17 AM,-1.30554945261391E-02,-0.488604289787828,0
8/10/2017 9:11:18 AM,-1.30025887552519E-02,-0.486624281557708,0
8/10/2017 9:11:19 AM,-1.30025887552519E-02,-0.486624281557708,0
8/10/2017 9:11:20 AM,-1.30025887552519E-02,-0.486624281557708,0
8/10/2017 9:11:21 AM,-1.30025887552519E-02,-0.486624281557708,0
8/10/2017 9:11:23 AM,-1.30879693604354E-02,-0.489819666449013,0
8/10/2017 9:11:24 AM,-1.30879693604354E-02,-0.489819666449013,0
8/10/2017 9:11:25 AM,-1.33040369318365E-02,-0.497906035146823,0
8/10/2017 9:11:26 AM,-1.33040369318365E-02,-0.497906035146823,0
8/10/2017 9:11:27 AM,-1.33040369318365E-02,-0.497906035146823,0
8/10/2017 9:11:28 AM,-0.013269234028959,-0.496603530089743,0
8/10/2017 9:11:29 AM,-0.013269234028959,-0.496603530089743,0
8/10/2017 9:11:31 AM,-1.31694029337743E-02,-0.492867332945789,0
8/10/2017 9:11:32 AM,-1.31694029337743E-02,-0.492867332945789,0
8/10/2017 9:11:33 AM,-1.31694029337743E-02,-0.492867332945789,0
8/10/2017 9:11:34 AM,-1.31093736691492E-02,-0.490620726649112,0
8/10/2017 9:11:35 AM,-1.31093736691492E-02,-0.490620726649112,0
8/10/2017 9:11:36 AM,-1.31093736691492E-02,-0.490620726649112,0
8/10/2017 9:11:37 AM,-1.31093736691492E-02,-0.490620726649112,0
8/10/2017 9:11:39 AM,-1.30531782137862E-02,-0.488517601370942,0
8/10/2017 9:11:40 AM,-1.30531782137862E-02,-0.488517601370942,0
8/10/2017 9:11:41 AM,-1.29341671528275E-02,-0.484063590471532,0
8/10/2017 9:11:42 AM,-1.29341671528275E-02,-0.484063590471532,0
8/10/2017 9:11:43 AM,-1.29341671528275E-02,-0.484063590471532,0
8/10/2017 9:11:44 AM,-1.27909214979424E-02,-0.478702595426098,0
8/10/2017 9:11:45 AM,-1.27909214979424E-02,-0.478702595426098,0
8/10/2017 9:11:47 AM,-1.26883010177109E-02,-0.474862005032467,0
8/10/2017 9:11:48 AM,-1.26883010177109E-02,-0.474862005032467,0
8/10/2017 9:11:49 AM,-1.26883010177109E-02,-0.474862005032467,0
8/10/2017 9:11:50 AM,-0.012827287406692,-0.480063596266129,0
8/10/2017 9:11:51 AM,-0.012827287406692,-0.480063596266129,0
8/10/2017 9:11:52 AM,-1.28223216778768E-02,-0.479877752949647,0
8/10/2017 9:11:53 AM,-1.28223216778768E-02,-0.479877752949647,0
8/10/2017 9:11:55 AM,-1.28223216778768E-02,-0.479877752949647,0
8/10/2017 9:11:56 AM,-1.28851643960937E-02,-0.482229653265734,0
8/10/2017 9:11:58 AM,-1.30798631826897E-02,-0.489516291252277,0
8/10/2017 9:11:59 AM,-1.30798631826897E-02,-0.489516291252277,0
8/10/2017 9:12:01 AM,-1.33648507860324E-02,-0.500182004852849,0
8/10/2017 9:12:02 AM,-1.33648507860324E-02,-0.500182004852849,0
8/10/2017 9:12:03 AM,-1.33648507860324E-02,-0.500182004852849,0
8/10/2017 9:12:04 AM,-1.35636651343768E-02,-0.507622668496644,0
8/10/2017 9:12:06 AM,-1.37159573707833E-02,-0.513322233523509,0
8/10/2017 9:12:08 AM,-1.37159573707833E-02,-0.513322233523509,0
8/10/2017 9:12:09 AM,-1.41675008875382E-02,-0.530221332892789,0
8/10/2017 9:12:10 AM,-1.41675008875382E-02,-0.530221332892789,0
8/10/2017 9:12:11 AM,-1.41675008875382E-02,-0.530221332892789,0
8/10/2017 9:12:12 AM,-1.43161480317284E-02,-0.535784479671385,0
8/10/2017 9:12:14 AM,-1.43161480317284E-02,-0.535784479671385,0
8/10/2017 9:12:15 AM,-1.49033657991664E-02,-0.557761212887839,0
8/10/2017 9:12:16 AM,-1.49033657991664E-02,-0.557761212887839,0
8/10/2017 9:12:17 AM,-1.49033657991664E-02,-0.557761212887839,0
8/10/2017 9:12:18 AM,-1.53152464281663E-02,-0.57317592136992,0
8/10/2017 9:12:19 AM,-1.53152464281663E-02,-0.57317592136992,0
8/10/2017 9:12:20 AM,-1.53152464281663E-02,-0.57317592136992,0
8/10/2017 9:12:22 AM,-1.56323284986074E-02,-0.585042776319163,0
8/10/2017 9:12:24 AM,-1.58263589579155E-02,-0.592304402033734,0
8/10/2017 9:12:25 AM,-1.58263589579155E-02,-0.592304402033734,0
8/10/2017 9:12:27 AM,-1.58372331856191E-02,-0.592711372010511,0
8/10/2017 9:12:28 AM,-1.58372331856191E-02,-0.592711372010511,0
8/10/2017 9:12:31 AM,-1.60872298639736E-02,-0.602067543791838,0
8/10/2017 9:12:32 AM,-1.60872298639736E-02,-0.602067543791838,0
8/10/2017 9:12:33 AM,-1.62871909135647E-02,-0.60955112294122,0
8/10/2017 9:12:36 AM,-1.62871909135647E-02,-0.60955112294122,0
8/10/2017 9:12:37 AM,-1.65435294667116E-02,-0.619144640555954,0
8/10/2017 9:12:38 AM,-1.65435294667116E-02,-0.619144640555954,0
8/10/2017 9:12:39 AM,-1.65435294667116E-02,-0.619144640555954,0
8/10/2017 9:12:41 AM,-1.67493818256615E-02,-0.626848703044316,0
8/10/2017 9:12:42 AM,-1.67493818256615E-02,-0.626848703044316,0
8/10/2017 9:12:44 AM,-1.73587176801831E-02,-0.649653209747963,0
8/10/2017 9:12:45 AM,-1.73587176801831E-02,-0.649653209747963,0
8/10/2017 9:12:47 AM,-1.73079101040263E-02,-0.647751726842492,0
8/10/2017 9:12:49 AM,-1.73079101040263E-02,-0.647751726842492,0
